name;localisation;price;area
Nowa Kawalerka Nadodrze / New Studio in Downtown; Nadodrze;2400;27.0
Do wynajęcia kawalerka w centrum Wrocławia; Stare Miasto;2250;34.0
Na wynajem mieszkanie ul. Krzemieniecka Wrocław; Fabryczna;2250;36.1
Mieszkanie, 26 m², Wrocław; Krzyki;2300;26.0
Mieszkanie wynajmę na miesiąc /dwa/długi termin; Krzyki;2500;37.0
Wynajmę nowoczesny Apartament - Kleczków; Psie Pole;3300;40.0
Szczepin!_Kawalerka_27m2_Piwnica_Centrum!; Stare Miasto;2100;27.0
39 m2, miejsce postojowe, komórka lok., balkon; Stare Miasto;2500;39.0
Wynajmę nowe Mieszkanie 1 pokojowe z parkingiem; Fabryczna;2100;33.0
Bezpośrednio - Grabiszyńska, apartament i garaż; Fabryczna;2490;34.0
M 1-pokojowe dla singla lub pary. Widok na patio.; Stare Miasto;2350;28.0
ATAL TOWERS kawalerka_rezerwacja; Stare Miasto;2100;30.0
Kawalerka z balkonem/Port Popowice/ 1 lipiec; Fabryczna;2500;31.0
Luksusowa kawalerka Wrocław 36m2 + garaż podziemny; Psie Pole;2300;36.0
Do wynajęcia Mieszkanie Apartament ul. Bierutowska; Psie Pole;2200;28.0
Nowe, 32 m2, z balkonem, ul. Kurkowa, Nadodrze; Śródmieście;2500;32.0
Nowa kawalerka dla 1-2 osób, Fabryczna; Fabryczna;1950;17.0
Nowa kawalerka 26 mkw, Krzyki, ul.S.Drabika 85; Krzyki;2300;26.0
Apartament - ks. Witolda/Rynek - wysoki standard; Śródmieście;2700;31.0
Nowa kawalerka przy ul Ks. Witolda; Stare Miasto;2800;26.0
Studio,35m2,Walońska/centrum,01.09,A/C,parking; Śródmieście;2500;35.0
Mieszkanie, 20 m², Wrocław; Śródmieście;1950;20.0
Kawalerka Wrocław Stare Miasto; Stare Miasto;2300;30.0
Studio z widokiem na Ostrów Tumski i katedrę; Stare Miasto;2500;27.0
Umeblowane, idealny stan, centrum.; Krzyki;2000;31.0
Gądów - Bystrzycka | 25m2 | 1pok | balkon 6m2 |; Fabryczna;1700;25.0
Komfortowy apartament - Do Wynajęcia Od Zaraz; Psie Pole;2000;22.06
Apartament - Wrocław ul. Grunwaldzka 32 kawalerka; Śródmieście;2550;28.0
Mieszkanie na wynajem od października Dyrekcyjna 1; Krzyki;2150;17.0
Apartament| Blisko Magnolii|Dostępne od 01.08.2022; Stare Miasto;2100;24.0
Od zaraz ! Kawalerka w centrum Wrocławia; Śródmieście;2200;32.0
Przestronna kawalerka koło Sky Towera; Krzyki;3000;32.0
Nowa Kawalerka Nadodrze / New Studio in Downtown; Nadodrze;2400;27.0
Duża kawalerka, Strzegomska, centrum; Stare Miasto;2150;37.0
Kawalerka oś. ZŁOTNIKI - Kościańska 37 bez pośred.; Fabryczna;1950;29.0
Nowoczesna kawalerka na Psim Polu. BEZ PROWIZJI; Psie Pole;2050;27.0
Kawalerka Wysoka, Chabrowa; Chabrowa;1800;31.0
Przestronna kawalerka przy ul. Legnickiej/Stacyjne; Stare Miasto;2100;30.0
Pierwszy Najem*Ul.Zarembowicza*Studio; Fabryczna;2000;24.49
Wynajmę nowoczesny Apartament - Kleczków; Psie Pole;3300;40.0
Bezpośrednio - Grabiszyńska, apartament i garaż; Fabryczna;2490;34.0
Fantastyczna kawalerka.; Fabryczna;2200;25.0
Nowa kawalerka, Port Popowice, bez pośredników; Fabryczna;2500;25.0
Piękna kawalerka blisko centrum - od 1.08.2022; Fabryczna;2900;29.0
Kawalerka | 40 m2 | Most Warszawski | Balkon |; Śródmieście;2100;40.0
Do wynajęcia kawalerka z ogródkiem, nowa, meble; Krzyki;2400;26.0
Ładna kawalerka z balkonem, w pełni wyposażona; Krzyki;2000;23.0
Bez kaucji, bez prowizji!; Psie Pole;2700;24.0
Studio 27m2 Stare Miasto/Rynek/Oławska; Stare Miasto;2000;27.0
Studio z balkonem blisko Centrum/Tęczowa; Stare Miasto;2000;27.0
Kawalerka 26,6m ul. Łęczycka; Stare Miasto;2100;26.6
Do wynajęcia od zaraz - Promenady Wrocławskie 30m2; dolnośląskie;2900;30.0
Kawalerka | Oddzielna kuchnia | Balkon | parking; Fabryczna;2200;27.0
Blisko Uniwersytetu,osobna kuchnia,balkon,umeblow.; Stare Miasto;2000;35.0
Atrakcyjny mikroapartament na ul.Fabrycznej; Fabryczna;1800;17.0
Garaż Bajana Skrzydlata Idzikowskiego SM6 Gądów; Fabryczna;45000;40.0
Kawalerka przy ul. Zielińskiego we Wrocławiu; Stare Miasto;2200;27.0
Fantastyczna kawalerka.; Fabryczna;2200;25.0
Centrum Walońska nowa kawalerka 32m2; Krzyki;3200;32.0
Centrum Walońska nowa kawalerka 32m2; Stare Miasto;3200;32.0
Kawalerka | od zaraz | po remoncie; Nadodrze;2400;28.0
Kawalerka | 10 min od Rynku | wolne od zaraz; Krzyki;2200;33.0
Angel City ul. Walońska STUDIO,SPA&GYM 0% Prowizji; Stare Miasto;3000;28.5
Prestiżowy Apartament Studio 28m2 - Tęczowa 31A; Stare Miasto;4900;28.0
Duże Studio w Angel City SPA&GYM 0% prowizji; Stare Miasto;3200;35.5
Przestronna kawalerka z loggią - pierwszy najem; Psie Pole;2000;26.0
Zadbana kawalerka z antresolą w super lokalizacji; Krzyki;2300;39.0
Przytulna kawalerka w topowej lokalizacji; Stare Miasto;2300;37.5
Mieszkanie| Kawalerka| Klimatyzacja| Ołtaszyn; Krzyki;2800;41.0
Studio 35 m2 z balkonem/ Nadodrze / Żeromskiego; Śródmieście;2100;35.0
Przy Uniwersytecie Kępa Mieszczańska + garaż; dolnośląskie;3000;32.0
Do wynajęcia kawalerka w centrum Wrocławia; Stare Miasto;2250;34.0
Luksusowa kawalerka w centrum Wrocławia OD ZARAZ; Krzyki;2300;32.0
Przestronna kawalerka po remoncie*31mkw*BALKON*GAJ; Krzyki;2500;31.0
Mkroapartament na Placu Grunwaldzkim; Śródmieście;2200;18.0
Księcia Witolda mieszkanie 34m2 do wynajęcia Nowe; Śródmieście;3000;34.0
Mieszkanie w centrum | Balkon | Komórka | od 01.08; Stare Miasto;2000;27.0
ul. Gagarina/2 pokoje /balkon/Mp; Fabryczna;2800;38.51
Mieszkanie wynajmę na miesiąc /dwa/długi termin; Krzyki;2500;37.0
Nowa kawalerka, Port Popowice, bez pośredników; Fabryczna;2500;25.0
Luksusowa kawalerka w centrum Wrocławia OD ZARAZ; Krzyki;2300;32.0
Studio z balkonem | 35m2 | ul. Gwiaździsta; Krzyki;2950;35.0
Mieszkanie, 32,50 m², Wrocław; Stare Miasto;2300;32.5
Na wynajem mieszkanie ul. Krzemieniecka Wrocław; Fabryczna;2250;36.1
Kawalerka w domu jednorodzinnym | Stabłowice; Fabryczna;1600;25.0
Pokój do wynajęcia; Krzyki;1200;12.0
Kawalerka centrum Wrocławia; Śródmieście;2700;30.0
Wrocław, Stare Miasto, Kościuszki tuż przy Renomie; Stare Miasto;500;27.0
Studio w Angel City, Siłownia i SPA ul. Walońska; Stare Miasto;3100;28.0
Stylowa kawalerka w centrum miasta; Stare Miasto;2200;25.0
Ładna Kawalerka | ul. Graniczna | Airport |; Fabryczna;2350;26.0
Psie Budy,38 mkw.,klucze w biurze; Stare Miasto;2300;38.51
Wysoki standard / Kawalerka / Centrum; Śródmieście;2600;30.0
Loft Studio By The River; Krzyki;2500;25.0
Kawalerka | Klimatyzacja | Ołtaszyn; Krzyki;2800;41.0
Rynek kawalerka dla Singla; Rynek;2400;30.0
Kawalerka*Blisko centrum*Od lipca; Śródmieście;1800;22.4
Kawalerka dla inżyniera, programisty, szefa firmy; dolnośląskie;1500;34.0
Ładna kawalerka z duży balkonem na Gądowie Małym; Fabryczna;2000;37.0
Kawalerka gotowa do zamieszkania od zaraz; Krzyki;2000;30.0
Mieszkanie na 23%Vat ul.Grabiszyńska 204d; Fabryczna;2700;37.0
Mieszkanie na 23%Vat ul.Grabiszyńska 204d; Fabryczna;2700;37.0
Faktura 23%Vat ul.Grabiszyńska 204d; Fabryczna;2700;37.0
Kawalerka, świetna lokalizacja; Fabryczna;2350;34.15
Kawalerka przy Wrocławim Rynku - Polecamy !; Stare Miasto;1800;27.0
Kawalerka blisko centrum + parking + balkon; Krzyki;2000;28.37
Bardzo ładna kawalerka ul. Czarneckiego Szczepin; Stare Miasto;2500;33.0
|Nowa kawalerka| Wrocław | Fabryczna| Na wynajem|; Fabryczna;1850;17.0
Super Mieszkanko W Centrum; Stare Miasto;2000;30.34
wynajmę nowy apartament umeblowany w Parku Biznes; Psie Pole;1900;23.0
Bardzo ładna kawalerka ul. Czarneckiego Szczepin; Stare Miasto;2500;33.0
Mieszkanie, 30 m², Wrocław; Psie Pole;2500;30.0
Kawalerka | Parking | Winda | Poniatowskiego; Śródmieście;4100;36.0
Komfortowa kawalerka na ul. Legnickiej!; Fabryczna;2500;26.0
Wygodna kawalerka blisko Magnolii - SoftyLofty; Stare Miasto;2500;24.0
Księcia Witolda mieszkanie 34m2 do wynajęcia Nowe; Śródmieście;3000;34.0
Księcia Witolda mieszkanie 34m2 do wynajęcia Nowe; Śródmieście;3200;34.0
Wynajmę nowoczesny Apartament - Kleczków; Psie Pole;3300;40.0
Nowa Kawalerka Nadodrze / New Studio in Downtown; Nadodrze;2400;27.0
Na wynajem mieszkanie ul. Krzemieniecka Wrocław; Fabryczna;2250;36.1
Mikroapartament do wynajęcia Starter III; Krzyki;2100;17.0
Super Okazja Samodzielne Umeblowane Przestronne !; Psie Pole;1600;37.0
Kawalerka| ul. Fabryczna| Pierwszy najem| Nowy bud; Fabryczna;1850;17.0
Wynajem wakacyjny Wrocław centrum od VI do IX; Krzyki;2450;24.0
Mieszkanie do wynajęcia Wrocław ul. Dyrekcyjna 1; Krzyki;2050;17.29
Nowy mikroapartament ul. Fabryczna; Fabryczna;1900;17.0
Stylowa kawalerka w centrum miasta; Stare Miasto;2200;25.0
mieszkanie centrum Wrocławia opłaty w cenie; Krzyki;2100;17.0
wynajem tylko na wakacje; Krzyki;2150;16.25
Nowe mieszkanie dla pracowników Brochów parking; Krzyki;3000;40.0
Nowa kawalerka.; Stare Miasto;3000;25.0
do wynajęcia od 1 lipca Wrocław Dyrekcyjna 1; Krzyki;2050;17.29
Nowe mieszkanie dla pracowników Brochów parking; Krzyki;3000;40.0
Kawalerka max 2 osoby.; Wrocław;2500;30.0
Studio dla 2 osób bez pośredników; Śródmieście;2500;24.0
*Kawalerka*33m2*Balkon*Karłowice*; Psie Pole;2500;33.0
Nowa kawalerka przy Braniborskiej; Stare Miasto;2500;28.0
przytulna kawalerka w kamienicy/Kleczków; Psie Pole;2000;25.0
świetna lokalizacja/kawlalerka na wynajem; Psie Pole;2000;25.0
klimatyczna kawalerka z antresolą/Kleczków; Psie Pole;2800;37.0
świetna komunikacja z centrum/kawalerka na wynajem; Psie Pole;2300;28.0
Apartament | Ks Witolda | Widok na rzekę; Śródmieście;3000;26.2
Luksusowa Kawalerka,Lokum Vena, Plac Bema,Centrum.; Śródmieście;2200;25.0
Mieszkanie - Wrocław Krzyki; Krzyki;1750;18.0
Kawalerka| Stare Miasto| Rynek; dolnośląskie;2500;35.0
Komfortowa kawalerka z balkonem KRZYKI/KLECINA; Krzyki;2290;23.0
##Przepiękny apartament ##Kawalerka 30 m kw##; Krzyki;3000;30.0
Nowe, klimatyzacja, balkon. ok. Legnickiej; Fabryczna;2200;27.0
Komfortowy apartament w sercu miasta z parkingiem; Stare Miasto;3400;35.0
Studio w Młynie Maria z widokiem na Ostrów Tumski; Stare Miasto;2150;25.0
Mikro-apartament, kawalerka 150m od rynku; Stare Miasto;2400;24.0
Kawalerka*Super Lokalizacja*; Fabryczna;1800;20.0
Kawalerka Lokum Vena | Ogród Botaniczny | WYNAJEM; Śródmieście;2800;25.0
Kawalerka| PARKING W CENIE |Prestiżowa lokalizacja; Śródmieście;2800;25.0
Kawalerka Lux /Klecina / 21m2 / wolne; Krzyki;2000;21.0
fv tak,prestiż, atrak.loka, klima,balkon,Ovo; Śródmieście;4500;35.0
Kawalerka z balkonem/Port Popowice/ 1 lipiec; Fabryczna;2500;31.0
Do wynajęcia Mieszkanie Apartament ul. Bierutowska; Psie Pole;2200;28.0
Kawalerka przy ul. Zielińskiego we Wrocławiu; Stare Miasto;2200;27.0
Mieszkanie, 26 m², Wrocław; Krzyki;2400;26.0
Kawalerka Soft Lofty Legnicka ul. Przedmiejska; Stare Miasto;2500;25.0
Kawalerka 31 mkw. Hubska | W cenie garaż!; Krzyki;2500;31.54
Mieszkanie - Wrocław Krzyki; Krzyki;1500;30.0
Nowe - Nieużywane -Zielony Taras- Krzyki / Klecina; Krzyki;1900;28.0
Kawalerka 20m2 ul. Przedmiejska; Fabryczna;2000;20.0
Studio z balkonem i garażem - Krzyki, ul. Burzowa; Krzyki;2000;31.0
Super 1 Pokojowe - Krzyki - Klecina - Garaż!; Krzyki;1900;35.0
Kawalerka jak mieszkanie; Psie Pole;2100;42.0
Kawalerka z balkonem ul.Śliczna; Krzyki;1600;35.0
