name;localisation;price;area;rooms
- Centrum - 64m2 - pełny rozkład- Pl. Muzealny; Stare Miasto;5000;64.0;3.0
Mieszkanie z zielonym ogrodem 50m2 OLTASZYN KRZYKI; Krzyki;4900;54.5;2.0
Przytulne mieszkanie na wynajem; Krzyki;2500;41.0;2.0
Mieszkanie 2021 + m.parkingowe Osiedle Malownicze; Fabryczna;3800;60.0;3.0
Na wynajem mieszkanie ul. Wilanowska Wrocław; Psie Pole;2300;50.0;2.0
Dwupokojowe, Mosiężna 50 m2 !!!!!!REZERWACJA!!!!!; Fabryczna;2600;50.0;2.0
3 Pokoje-Balkon - Garaż/Śródmieście /ul. Długosza; Śródmieście;3300;48.0;3.0
Atrakcyjna kawalerka z balkonem przy Legnickiej.; Stare Miasto;2400;29.5;1.0
Ciche mieszkanie z dużym ogrodem, garaż; Psie Pole;2600;40.0;2.0
Wynajmę 2-pok, komfort, klima, 46 m2, Krzyki/Ołtas; Krzyki;2600;46.0;2.0
- Centrum - 64m2 - pełny rozkład- Pl. Muzealny; Stare Miasto;5000;64.0;3.0
⭐ 3 pok. ⭐ Krzycka⭐ Luksusowe Wykończenie od zaraz; Krzyki;6900;71.3;3.0
WYSZYŃSKIEGO 24m2 ciche ciepłe CO miejskie po rem.; Śródmieście;1900;24.0;1.0
Mieszkanie otoczone zielenią, rozkładowe, ciche; Fabryczna;3900;48.0;2.0
Mieszkanie 57m2, 2 sypialnie Kamieńskiego; Psie Pole;3500;57.0;3.0
Apartament Sky Tower piętro 28; dolnośląskie;11000;70.0;2.0
Stylowe mieszkanie blisko Rynku i Uniwersytetu; Nadodrze;2800;60.0;2.0
Mieszkanie 2 pokoje, 50m2, odnowione, KLIMATYZACJA; Psie Pole;3500;50.0;2.0
Luksusowo wykończone 3-pokoje w super lokalizacji; Krzyki;3500;56.0;3.0
Dwupoziomowe mieszkanie bezpośrednio od właściciel; Śródmieście;4300;110.0;3.0
★ Nowoczesny remont ★ Rewelacyjny widok ★ (En/Ua); Krzyki;3200;62.0;2.0
Mieszkanie do wynajęcia Wrocław 52m2 ul.Przyjazni; Krzyki;3000;52.0;2.0
3pokojowe mieszkanie w centrum z klimatyzacją; Fabryczna;4000;63.0;3.0
2 pok. mieszkanie, ul. Jesionowa, Wrocław, XVI p.; Krzyki;3200;41.5;2.0
Centrum,Kępa St.,balkon,garaż,wys.stand.,meble,5p.; Stare Miasto;2500;25.0;1.0
3 pokoje, Biskupin, Nowe Bud., duży balkon; Śródmieście;3100;60.0;3.0
Kawalerka na ul. Nyskiej Wrocław; Krzyki;2000;30.0;1.0
Mieszkanie do wynajęcia, Wrocław ul. Graniczna 42m; Fabryczna;2600;42.5;2.0
Mieszkanie 3 pokoje osiedle Wrocław Golf Club; Psie Pole;7500;81.0;3.0
Sołtysowice - Mieszkanie 3 pokojowe; Psie Pole;3500;60.0;3.0
Komfortowe 3 pokoje; Krzyki;3900;66.33;3.0
Stabłowice | 3 pokoje | balkon | winda | 2x garaż; Fabryczna;3000;50.0;3.0
Wynajmę słoneczne mieszkanie. Rok budowy 2018; Wrocław;2600;29.46;1.0
Komfortowe mieszkanie 2-pok.na Krzykach+parking; Krzyki;2900;41.0;2.0
Wynajem, zaraz przy Rynku, 100 m2, 2 duże pokoje !; Stare Miasto;3500;100.0;2.0
Luksusowe mieszkanie w zabytkowej kamienicy; Śródmieście;9000;127.0;3.0
Mieszkanie na Przedmieściu Oławskim, po remoncie; Krzyki;4500;83.0;4.0
Stylowe mieszkanie 2pok.na Browarach Wrocławskich; Śródmieście;4500;47.6;2.0
Stylowy apartament widokiem na Odrę | 3 pokoje; Nadodrze;4900;64.0;3.0
Wynajem mieszkania (nowe) -Wrocław-Fabryczna; Fabryczna;4500;60.0;3.0
Biskupin, Olszewskiego; Śródmieście;2800;52.0;2.0
Mieszkanie na Parkowej; Śródmieście;3500;67.0;2.0
Wynajmę mieszkanie 74m2 z dwoma ogródkami; Krzyki;3500;74.0;3.0
mieszkanie 100m2, taras, ogródek, na płd Wrocławia; dolnośląskie;5500;100.0;4.0
Angel City - 2 pokoje | Taras | Parking | GYM&SPA; Krzyki;4200;46.0;2.0
Widok na PARK. OGRÓD do wyłącznej dyspozycji!; Krzyki;6700;98.0;2.0
Nowoczesna KAWALERKA w centrum miasta ANGEL CITY; Krzyki;2750;28.0;1.0
4-pokojowe mieszkanie z ogrodem; Krzyki;8200;94.0;4.0
Elegancki, nowoczesny APARTAMENT KĘPA Mieszczańska; Stare Miasto;3600;40.0;2.0
Wynajmę mieszkanie 2 pokojowe, ul. Brodatego.; Śródmieście;2500;38.0;2.0
Mieszkanie z tarasem i parkingiem podziemnym!; Psie Pole;4300;44.0;2.0
"2-pokojowe na Gajowickiej; Wrocław-Krzyki-Powstańc"; Krzyki;2200;34.0;2.0
2 pokoje na Gaju ul. Krynicka od zaraz / balkon; Krzyki;2850;52.0;2.0
Mieszkanie 3 osobne pokoje balkon piwnica parking; Fabryczna;3800;70.0;3.0
Klimatyczne mieszkanie w centrum; Nadodrze;3200;37.0;2.0
Mieszkanie 37m2 | Promenady Wrocławskie|Zakładowa; Psie Pole;3000;37.0;2.0
3 pokoje / Księże Małe / tramwaj / 15 min do Rynku; Krzyki;3300;48.0;3.0
2-poziomowe, 77m2, pierwszy najem, wysoki standard; Krzyki;4200;77.0;3.0
Mieszkanie dwupokojowe w willi; Psie Pole;3500;60.0;2.0
PROMO! KOMFORT I CISZA w CENTRUM, 3 pokoje +kuchni; Fabryczna;4250;56.0;3.0
Mieszkanie 3-pokojowe, pierwszy najem, dwa ogrody; Krzyki;6000;73.0;3.0
komfortowe, nowoczesne_ul. Obornicka_os. Różanka; Psie Pole;2900;45.0;2.0
Klimatyczne 4-pokojowe mieszkanie w kamienicy; Śródmieście;5000;83.0;4.0
2 Pokoje | Krótki Najem | Ogródek; Fabryczna;2800;34.0;2.0
Mieszkanie w centrum Wrocławia 27 m2 2300 zł; Stare Miasto;2300;27.0;1.0
Trzy rozkładowe pokoje przy placu Orląt Lwowskich; Stare Miasto;3500;64.0;3.0
Nowe- Ul.Zielna, Z Miejscem Parkingowym; Psie Pole;2400;36.66;2.0
Mieszkanie Ogrody Hallera Premium; Fabryczna;5000;48.0;2.0
Rezerwacja -2 pokoje -, Angel City, parking,SPA&GY; Krzyki;4500;51.0;2.0
Apartament w Centrum dla wymagającego Klienta; Stare Miasto;4500;42.0;2.0
Apartament z dużym tarasem i bajecznym widokiem; Psie Pole;4000;68.17;4.0
Gwieździsta - wysoki standard- Miejsce parkingowe; Krzyki;4400;50.0;2.0
2-pokojowe mieszkanie na wynajem, ul. Żeromskiego; Śródmieście;2600;35.0;2.0
Mieszkanie z zielonym ogrodem 50m2 OLTASZYN KRZYKI; Krzyki;4900;54.5;2.0
4 pokojowe obok Hali Stulecia, parku, AM,PWR; Śródmieście;6000;110.0;4.0
Wyjątkowe dwa pokoje na Borku - garaż, trzy tarasy; Krzyki;3200;62.5;2.0
NOWE mieszkanie dwupokojowe z miejscem parkingowym; Fabryczna;2800;40.0;2.0
Ul. Deszczowa / Osiedle Archipelag Zieleni; Krzyki;2700;30.0;1.0
Wynajmę 2-pok, komfort, klima, 46 m2, Krzyki/Ołtas; Krzyki;2600;46.0;2.0
3pokojowe mieszkanie w centrum z klimatyzacją; Fabryczna;4000;63.0;3.0
2 pok. / okolice Sky Tower / Wyposażone / 0% prow; Krzyki;3500;45.0;2.0
Piękny apartament po generalnym remoncie z widokie; Stare Miasto;4000;45.0;2.0
Centrum/Kepa, 9-pietro z widok, klimatyza, dostepn; Śródmieście;3450;42.0;2.0
2 pokojowe - Różanka; Psie Pole;3000;45.0;2.0
3 pokojowe mieszkanie na Popowicach; Fabryczna;3500;50.0;3.0
Luksusowy apartament z tarasem przy parku; Śródmieście;6800;80.0;2.0
Mieszkanie 3pokojowe dla pary lub singla | Centrum; Krzyki;3300;50.0;3.0
Mieszkanie 3 pokojowe - Grabiszyńska; Fabryczna;4000;46.0;3.0
Wojszyce*3 Pokoje 59,16 M*Ogródek 52,60M*Garaż; Krzyki;4400;59.16;3.0
Legnicka, Popowice, Magnolia - bez pośredników; Fabryczna;3100;38.25;2.0
Wrocław/Krzyki/Borek,60 m2, ogródek, od zaraz; Krzyki;3000;60.0;3.0
Komfortowe mieszkanie z dużą antresolą tuż przy Pa; Krzyki;4000;82.0;4.0
Kawalerka 25m2 Stare Miasto Szczepin; Stare Miasto;2200;25.0;1.0
Mieszkanie - Wrocław Poświętne; Psie Pole;2400;27.0;1.0
Mieszkanie Gaj 50 m2 - Zarezerwowane; Krzyki;2700;50.0;2.0
Luksusowy apartament w centrum Wrocławia; Fabryczna;4000;50.0;2.0
Mieszkanie 2-pokojowe nad rzeką | Księcia Witolda; Śródmieście;4699;50.0;2.0
3 pokoje/komfort/nowe/m.postojowe; Psie Pole;3900;52.0;3.0
super oferta/Psie Pole/nowe/komfort/m.postojowe; Psie Pole;3000;40.0;2.0
Mieszkanie 2pok+mały salon, centrum, klimatyzowane; Śródmieście;3000;43.0;2.0
Apartament z tarasem i jacuzzi; Krzyki;5000;40.0;2.0
Mieszkanie 3 pokojowe, okolice ul. Bajana; Fabryczna;3200;63.0;3.0
Mieszkanie Trzypokojowe Nadodrze; Nadodrze;3200;51.7;3.0
Ładne mieszkanie 2 pokojowe Corte Verona od 1/09; Fabryczna;2800;37.0;2.0
Mieszkanie wynajmę dni / miesiąc /dwa/długi termin; Krzyki;3600;45.0;2.0
Doskonałe dla singla lub pary; Fabryczna;1500;23.5;1.0
Kawalerka PREMIUM - Powstańców Śląskich, Wrocław; Krzyki;2500;25.0;1.0
Wynajme Mieszkanie 2 pokojowe; Psie Pole;2300;38.0;2.0
Nowy Apartament 43 Mkw. Dla Menadżera. Ok.Sky Towe; Krzyki;3300;43.0;2.0
REZERWACJA !!2 pok. w centrum/34 m2/garaż/kom. lok; Krzyki;2900;34.0;2.0
2 pokoje w pełnym rozkładzie; Fabryczna;2900;53.0;2.0
Mieszkanie na osiedlu Gaj 68 m2; Krzyki;3800;68.0;3.0
Ul.Bacciarellego*2 Pokoje * Rozkład*Biskupin*; Śródmieście;2500;47.0;2.0
Centrum*Ul. Kościuszki *2 Pokoje 51m* Rozkładowe; Krzyki;2300;51.0;2.0
Słoneczny apartament w centrum Wrocławia; Stare Miasto;2350;32.0;1.0
Mieszkanie, 61 m², Wrocław; Śródmieście;5900;61.0;2.0
Mieszkanie, 40 m², Wrocław; Stare Miasto;5500;40.0;2.0
Mieszkanie 3-pokojowe, pierwszy najem, dwa ogrody; Krzyki;6000;73.0;3.0
Mieszkanie wynajmę dni / miesiąc /dwa/długi termin; Krzyki;3600;45.0;2.0
Piękne mieszkanie na Biskupinie - 140m2, 2-poziomy; Śródmieście;12000;140.0;5.0
Przepiękne mieszkanie w stylu loftowym,nowiutkie; Psie Pole;2900;48.13;2.0
Przepiękne mieszkanie w stylu Skandynawskim,nowe; Psie Pole;2900;48.77;2.0
Mieszkanie z balkonem przy Legnickiej, k/Magnolii; Stare Miasto;2600;26.0;1.0
Wrocław Krzyki, ulica Przyjaźni - wynajem długoter; Krzyki;3800;62.0;3.0
Piękne słoneczne mieszkanie, Ołtaszyn !!!; Krzyki;3700;56.45;3.0
2 pokojowe przy parku Klecińskim, Krzyki, od 01.09; Krzyki;2900;41.26;2.0
Centrum|2 pok|40 m2|garaż|klima|wysoki strop; Śródmieście;3200;40.0;2.0
Wynajmę mieszkanie 3 pokojowe; Krzyki;3500;48.0;3.0
2 Pokoje / Plac Grunwaldzki / Ogrody Reja; Śródmieście;3270;52.1;2.0
Piękne 2-Pokojowe Z Balkonem - Krzyki; Krzyki;3700;38.0;2.0
Mieszkanie koło Sky Tower; Krzyki;3500;35.0;1.0
Wynajmę mieszkanie ul. Traugutta 144; Śródmieście;2600;35.0;1.0
3-pokojowe mieszkanie z balkonem; Krzyki;3500;58.0;3.0
Mieszkanie, 68,14 m², Wrocław; Stare Miasto;7500;68.14;3.0
Nowe mieszkanie 3 pokojowe z balkonem; Krzyki;4500;66.88;3.0
mieszkanie 4 pok Grabiszynek; Fabryczna;10500;106.5;4.0
Pierwszy najem - 2 pokoje+garaż - wysoki standard; Krzyki;3500;45.0;2.0
5 pok | Zielona okolica | Taras; Śródmieście;12000;138.0;5.0
Legionów- centrum ROK Akademicki Bez Prowizji; Stare Miasto;2550;37.0;1.0
Ekskluzywna Kawalerka Wrocław Śródmieście klima; Śródmieście;2700;33.0;1.0
Nowe 2 pokoje Krzyki-Wojszyce; Krzyki;2950;44.0;2.0
Znakomita lokalizacja| Kawalerka 25m2; Krzyki;1800;25.0;1.0
Mieszkanie ok. Pl. Bema , 32 m.kw. , 2 pokoje; Śródmieście;3000;32.0;2.0
Atrakcyjne mieszkanie, 3 oddzielne pokoje, Krucza; Krzyki;3500;58.0;3.0
Wynajmę 2 pokojowe mieszkanie ul.Nyska; Krzyki;3600;52.0;2.0
2 pokojowe rozkładowe Świeradowska Gaj; Krzyki;3300;48.0;2.0
nowa kawalerka - Legnicka 60 c; Fabryczna;2050;16.41;1.0
4-pokojowe z dużym balkonem; Fabryczna;3500;84.0;4.0
Mieszkanie - WROCŁAW; Fabryczna;2499;49.0;2.0
✅Blisko Akademii Medycznej✅Akceptujemy zwierzaki✅; Krzyki;2700;38.0;2.0
Mieszkanie 3-pok | Parking | Garderoba| Balkon; Krzyki;3700;85.0;3.0
Kawalerka, Krzyki, ul.Braterska, ogródek, garaż; Krzyki;2500;24.0;1.0
Nowe i funkcjonalne! Blisko Pl. Grunwaldzki; Śródmieście;2400;27.0;1.0
Grabiszyńska mieszkanie 2 pokoje nowe; Fabryczna;3500;34.0;2.0
Norweska - Muchobór Mały/2 pokoje+kuchnia/ wolne!; Fabryczna;2300;45.0;2.0
Trzypokojowe mieszkanie/Klimasa/Di Trevi; Krzyki;3500;61.29;3.0
Nowoczesna KAWALERKA w centrum miasta ANGEL CITY; Krzyki;2750;28.0;1.0
NOWE mieszkanie dwupokojowe z miejscem parkingowym; Fabryczna;2800;40.0;2.0
Przytulne mieszkanie na wynajem; Krzyki;2500;41.0;2.0
Bulwary Książęce Klima Beautifull Apartament; Śródmieście;4200;43.0;2.0
Przy Uniwersytecie Ekonomicznym!; Krzyki;3000;46.0;2.0
Jagodno, 2021,balkon, winda, msc.post.komórka; Krzyki;4500;66.88;3.0
Pilczyce / 3 pok/ Wyposażone/ M-ce park./ 0% prow.; Fabryczna;4500;68.0;3.0
SIENKIEWICZA, 2 pokoje, 43 m2, duży balkon, garaż; Śródmieście;3250;43.0;2.0
#Lux Apartament 4 Pok. Umebl. Oporów Ul. Jutrzenki; Fabryczna;5900;101.0;4.0
Starter | Mikroapartament; Śródmieście;2300;14.0;1.0
2 pok. / okolice Sky Tower / Wyposażone / 0% prow; Krzyki;3500;45.0;2.0
Biskupin, 2 pokoje, taras, garaż, pierwszy najem; Śródmieście;4000;42.0;2.0
Apartament na Wrocławskich Krzykach 15 min do Pkp; Krzyki;3450;40.0;2.0
Nowe ekskluzywne mieszkanie Port Popowice - park; Fabryczna;5000;46.0;2.0
Atrakcyjne mieszkanie w okolicach centrum; Śródmieście;3000;32.0;1.0
2 pok. mieszkanie w centrum ul.Żelazna[REZERWACJA]; Fabryczna;2700;60.0;2.0
Kawalerka 24m2 - 2200 zł, Gajowicka, niski czynsz; Krzyki;2200;24.0;1.0
Dwupokojowe 36m2, Fabryczna (Oferta wstrzymana); Fabryczna;2380;36.0;2.0
ul. Miernicza, 94 mkw, 3 pokoje, 2 piętro, Co, Cw; Krzyki;4000;94.0;3.0
Nowe, komfortowe studio - pierwszy najem!; Fabryczna;2050;19.0;1.0
Dwupokojowe mieszkanie z klimatyzacją Tarnogaj; Krzyki;2600;45.0;2.0
Do wynajęcia apartament - ul. Krawiecka; Rynek;4500;78.0;2.0
Mieszkanie Drobnera 32 m., 2 pokoje; Śródmieście;3000;32.0;2.0
120m2 wolne od października, super lokalizacja; Krzyki;6300;120.0;3.0
Mieszkanie 3 pokojowe Grabiszynek; Fabryczna;3200;64.0;3.0
Apartamenty Księcia Witolda Lux nowe 50m2 klimatyz; Stare Miasto;5200;50.0;2.0
Rezerwacja Taras 38m2 - Garaż - Kawalerka 27m2; Fabryczna;2000;27.0;1.0
Klimatyczna Kawalerka W Rynku, Wrocław; Rynek;3500;22.33;1.0
Wrocław Stare Miasto ul.Tęczowa; Stare Miasto;3200;46.0;2.0
Wrocław/ Studio 37m2 OGRODY HALLERA + duży taras; Fabryczna;2600;37.0;1.0
pl. Grunwaldzki | Wysoki standard | 2 pokoje; Śródmieście;3400;58.0;2.0
Ok, Sky Tower, pierwszy wynajem, komfortowe, garaz; Krzyki;3300;43.0;2.0
Mieszkanie na wynajem od zaraz !; Krzyki;2000;30.0;1.0
Piękna_Kawalerka_Z_Antresolą_25m2_Ogródek!; Stare Miasto;2500;25.12;1.0
Kawalerka z balkonem| Garaż; Krzyki;2500;33.0;1.0
BEZPOŚREDNIO-cicho-TANIO-40m2 - wyjście do PARKU; Krzyki;2250;40.0;1.0
Na wynajem mieszkanie 3 pok, Legnicka 55, Wrocław; Fabryczna;4200;77.0;3.0
Mieszkanie/2 pokoje z ogródkiem/Tęczowa/3 Miesiące; Stare Miasto;3200;47.0;2.0
(PL/RU/ENG) Dwa Pokoje | Blisko centrum | Od Zaraz; Stare Miasto;3500;50.0;2.0
Centrum|2 pok|40 m2|garaż|klima|wysoki strop; Śródmieście;3200;40.0;2.0
kawalerka do wynajęcia Wrocław-Krzyki; Krzyki;2500;33.0;1.0
Apartament LOFT Angel City, Siłownia i SPA; Stare Miasto;5000;57.0;2.0
Super Kawalerka | os. kuchnia, balkon | Gajowicka; Krzyki;2200;35.0;1.0
Nowe 3 pokojowe na wynajem !; Psie Pole;4500;63.75;3.0
Przytulne trzypokojowe mieszkanie; Stare Miasto;4500;64.0;3.0
2 pokojowe od zaraz - Plac Powstańców Śląskich 1; Krzyki;4000;68.0;2.0
Piękne, nowe, komfortowe, winda, balkon, CENTRUM; Stare Miasto;3300;37.0;2.0
Świeżo po remoncie 3 pokoje ul. Zaporoska; Krzyki;3200;46.48;3.0
2 pokojowe, blisko Pl. Grunwaldzkiego; Śródmieście;3270;52.0;2.0
Mieszkanie, 40 m², Wrocław; Śródmieście;2900;40.0;2.0
Salon z aneksem + balkon | Borowska; Krzyki;2700;47.0;2.0
Angel River 2 pokoje, garaż, SPA&GYM; Stare Miasto;3500;42.0;2.0
Nowe, Strzeżone osiedle, Szybki dojazd do centrum; Krzyki;2900;29.0;1.0
Ul. Jana Pawła II _ Nowoczesne Studio _ Antresola; Stare Miasto;3000;25.0;1.0
Lux mieszkanie 3km do centrum 3 pokoje, 1 piętro; Krzyki;4000;68.0;3.0
Mieszkanie 2 pokoje na wynajem; Krzyki;6000;48.0;2.0
REZERWACJA DO 7.09; Krzyki;8000;110.0;4.0
Apartament centrum miasta2 pokoje siłownia garaż; Krzyki;3530;40.0;2.0
Nowe mieszkanie 55m2 + 2 ogródki | wysoki standard; Fabryczna;5700;55.0;3.0
Kawalerka, 1 km od Rynku, Wysoki standard; Krzyki;2800;30.0;1.0
Prestiżowy i Elegancki Pałac -Pl. Grunwaldzki; Śródmieście;7000;77.0;3.0
Jasne 4pok, rozkład, po remoncie,super lokalizacja; Nadodrze;4800;75.0;4.0
* 3 Pok*Pełny rozkład*Krzyki*Ślężna*; Krzyki;5000;70.0;3.0
3pokojowe mieszkanie PIlczyce; Fabryczna;3000;68.0;3.0
Mieszkanie 50m2 przy ul. Gorlickiej (PSIE POLE); Psie Pole;2650;50.0;2.0
2 pokoje z balkonem i garażem - ul. Krzycka; Krzyki;3100;52.12;2.0
Piękne mieszkanie w Kamienicy Centrum 3pok; Śródmieście;5000;68.0;3.0
Wynajmę 2 Poziomy-Garaż-Balkon-115 m2; Fabryczna;5000;115.0;5.0
2 Pokoje - 2 Garaże- 2 Balkony / Krzyki; Krzyki;3000;43.0;2.0
Rozkładowe mieszkanie dla 5-6 osób; Stare Miasto;3000;64.0;3.0
Atrakcyjne mieszkanie, 3 pokoje, lokalizacja!; Stare Miasto;3700;64.0;3.0
2pok. nowe bud., ul. Pilczycka, 2950zł za wszystko; Fabryczna;2500;37.0;2.0
Wymajmę w pełni umeblowane mieszkanie; Krzyki;2700;37.0;2.0
Kawalerka w biznesowym centrum Wrocławia; Fabryczna;3800;31.0;1.0
Piękna kawalerka blisko centrum - od 1.08.2022; Fabryczna;2900;29.0;1.0
Do wynajęcia kawalerka 31m; Fabryczna;2500;31.0;1.0
Mieszkanie, 100 m², Wrocław; Krzyki;6700;100.0;2.0
Apartament Centrum 50m2! 15 piętro Atal Towers; Stare Miasto;5000;50.0;2.0
3 pokoje / Księże Małe / tramwaj / 15 min do Rynku; Krzyki;3300;48.0;3.0
Kawalerka 24m2 - 2200 zł, Gajowicka, niski czynsz; Krzyki;2200;24.0;1.0
Przytulne mieszkanie na wynajem; Krzyki;2500;41.0;2.0
Studio Angel City garaż ~ siłownia i SPA; Stare Miasto;2900;28.0;1.0
Wynajem mieszkania (nowe) -Wrocław-Fabryczna; Fabryczna;4500;60.0;3.0
Nowoczesne mieszkanie z antresolą - Jana Pawła II; Stare Miasto;3300;56.0;2.0
2 pokoje, miejsce postojowe Angel City SPA&GYM; Stare Miasto;4000;42.5;2.0
Atrakcyjne 2-pok, garaż, os. Lokum da Vinci, f.VAT; Fabryczna;3500;48.7;2.0
Mieszkanie Pl. Grunwaldzki, 2pokoje+balkon+kom.lok; Śródmieście;3800;47.82;2.0
Angel City 2 pokoje z miejscem postojowym SPA&GYM; Stare Miasto;4100;44.0;2.0
Piękne mieszkanie | Klimatyzacja | Siłownia; Fabryczna;2600;40.0;2.0
2-pokojowe, nowe Krzyki, ul. Skarbowców; Krzyki;3990;35.0;2.0
Traugutta 2 pokoje+miejsce postojowe klimatyzacja; Krzyki;4200;43.0;2.0
Idealne mieszkanie dla pary, położenie przy RYNKU; Wrocław;4400;61.0;2.0
2 Pokoje/ Taras/ z 2020r./ Wysoki Standard/Huby; Krzyki;3500;37.0;2.0
Apartamenty Księcia Witolda, duży taras,dwa pokoje; Śródmieście;4700;48.0;2.0
Traugutta/Walońska 2 sypialnie+kuchnia z jadalnią; Śródmieście;4000;44.0;2.0
Kawalerka z ogródkiem ul.Gorlicka; Psie Pole;2200;29.0;1.0
2 pok | Port Popowice | Klimatyczne; Fabryczna;4200;46.0;2.0
4 pok | Krzyki | Klimatyzowane | Wis; Krzyki;6300;150.0;4.0
3 pokojowe 87m2, piękna kamienica, ul. Gajowa Huby; Krzyki;4500;87.75;3.0
Apartament Stare Miasto ul.Sikorskiego Atal Towers; Stare Miasto;4000;50.0;2.0
Apartament 10 min do rynku, ul. Legnicka Ua/Eng; Stare Miasto;2700;25.0;1.0
Mieszkanie 3 pokojowe 70 m2 | Zakrzów; Psie Pole;3200;70.0;3.0
Kawalerka | Garaż | Balkon; Krzyki;2600;30.0;1.0
Wynajmę 3 pokojowe mieszkanie na Jagodnie; Krzyki;4500;68.0;3.0
Nowe 2pokoje z balkonem, komórką i garażem Tęczowa; Stare Miasto;3500;37.58;2.0
Just in Center apartament - Wrocław Stare Miasto; Stare Miasto;3800;56.0;2.0
Wynajem; Krzyki;2000;34.0;1.0
Mieszkanie, 40 m², Wrocław; Krzyki;3000;40.0;2.0
Luksusowe apartamenty | Krzyki; Krzyki;8600;84.0;3.0
Niepowtarzalne mieszkanie 52 m2 | Kleczków; Psie Pole;3000;52.0;2.0
Kawalerka dla 2-3osób 23%Vat; Krzyki;2160;21.0;1.0
Loft_Garaż_Komórka_2_Pokoje_Wysokość_3,7m_BrowaryW; Śródmieście;4400;32.0;2.0
Piękne mieszkanie na Biskupinie - 140m2, 2-poziomy; Śródmieście;12000;140.0;5.0
Wynajmę mieszkanie - okolice pl. Bema, Śródmieście; Śródmieście;2700;64.0;2.0
Dwa pokoje z widokiem na rzekę-Miasto Marina fv8%; Krzyki;3450;49.0;2.0
Wrocław Kawalerka; Śródmieście;2790;39.0;2.0
Piękne Mieszkanie W Centrum; Krzyki;4000;48.0;2.0
Stabłowice | 3 pokoje | balkon | winda | 2x garaż; Fabryczna;3000;50.0;3.0
3 pokojowe mieszkanie na Popowicach; Fabryczna;3500;50.0;3.0
nowa kawalerka - Legnicka 60 c; Fabryczna;2050;16.41;1.0
2 pokojowe / Reja / Bezpośrednio; Śródmieście;3100;50.0;2.0
4-Pokojowy Apartament 150 m2, ogród, klimatyzacja; Krzyki;6300;150.0;4.0
Duża Kawalerka na Psim Polu; Psie Pole;1700;40.0;1.0
Pokój jednoosobowy do wynajęcia; Fabryczna;850;11.0;1.0
Ładne, wygodne mieszkanie; Fabryczna;2500;53.0;2.0
Wrocław-Psie Pole-2 pokoje- Mieszkanie w willi; Psie Pole;2200;40.0;2.0
Lokal apartament 100m, 6 pokoi; Krzyki;8000;100.0;6.0
Wynajmę mieszkanie 2 pokojowe!; Fabryczna;3500;42.0;2.0
Nowe budownictwo, BALKON, WYPOSAŻONE!; Krzyki;2800;55.9;2.0
